date,event_info_number,event_name,event_link,header1,header2,odd1,odd2,datum
2023-08-15 16:07:33.907382,12738,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152946,- 22.51,+ 22.51,1.8,1.88,30.09. 07:00
2023-08-15 16:07:33.907382,12831,Progresívne Slovensko,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/progresivne-slovensko-MCZ78152953,- 5.01,+ 5.01,90.0,-1.0,30.09. 07:00
2023-08-15 16:07:33.907382,12883,Progresívne Slovensko,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/progresivne-slovensko-MCZ78152954,- 18.21,+ 18.21,1.7,2.01,30.09. 07:00
2023-08-15 16:07:33.907382,12901,Progresívne Slovensko,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/progresivne-slovensko-MCZ78152957,- 17.51,+ 17.51,2.01,1.7,30.09. 07:00
2023-08-15 16:07:33.907382,13284,Hlas,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/hlas-MCZ78152974,- 5.01,+ 5.01,9.5,1.02,30.09. 07:00
2023-08-15 16:07:33.907382,13288,Hlas,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/hlas-MCZ78152998,- 10.51,+ 10.51,1.52,2.33,30.09. 07:00
2023-08-15 16:07:33.907382,13472,Hlas,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/hlas-MCZ78153001,- 9.51,+ 9.51,2.08,1.65,30.09. 07:00
2023-08-15 16:07:33.907382,13552,Republika,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/republika-MCZ78153012,- 5.01,+ 5.01,6.21,1.08,30.09. 07:00
2023-08-15 16:07:33.907382,13560,Republika,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/republika-MCZ78153014,- 8.01,+ 8.01,1.75,1.94,30.09. 07:00
2023-08-15 16:07:33.907382,13598,OĽANO A PRIATELIA,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/olano-a-priatelia-MCZ78153062,- 5.01,+ 5.01,7.43,1.05,30.09. 07:00
2023-08-15 16:07:33.907382,13600,OĽANO A PRIATELIA,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/olano-a-priatelia-MCZ78153064,- 7.01,+ 7.01,2.16,1.6,30.09. 07:00
2023-08-15 16:07:33.907382,13656,SaS,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/sas-MCZ78153146,- 5.01,+ 5.01,2.33,1.52,30.09. 07:00
