date,event_info_number,event_name,event_link,odds,datum
2023-05-22 23:16:46.530332,8368,Recep Tayyip Erdogan,/stavkovanie/politika/turecko-prezidentske-volby-2023/recep-tayyip-erdogan-MSK74743085,1.05,28.05. 07:00
2023-05-22 23:16:46.530332,8369,Kemal Kilicdaroglu,/stavkovanie/politika/turecko-prezidentske-volby-2023/kemal-kilicdaroglu-MSK74743088,8.0,28.05. 07:00
2023-05-22 22:39:24.454569,8368,Recep Tayyip Erdogan,/stavkovanie/politika/turecko-prezidentske-volby-2023/recep-tayyip-erdogan-MSK74743085,1.05,28.05. 07:00
2023-05-22 22:39:24.454569,8369,Kemal Kilicdaroglu,/stavkovanie/politika/turecko-prezidentske-volby-2023/kemal-kilicdaroglu-MSK74743088,8.0,28.05. 07:00
2023-05-23 04:07:19.287491,8368,Recep Tayyip Erdogan,/stavkovanie/politika/turecko-prezidentske-volby-2023/recep-tayyip-erdogan-MSK74743085,1.05,28.05. 07:00
2023-05-23 04:07:19.287491,8369,Kemal Kilicdaroglu,/stavkovanie/politika/turecko-prezidentske-volby-2023/kemal-kilicdaroglu-MSK74743088,8.0,28.05. 07:00
2023-05-23 16:07:14.276628,8368,Recep Tayyip Erdogan,/stavkovanie/politika/turecko-prezidentske-volby-2023/recep-tayyip-erdogan-MSK74743085,1.05,28.05. 07:00
2023-05-23 16:07:14.276628,8369,Kemal Kilicdaroglu,/stavkovanie/politika/turecko-prezidentske-volby-2023/kemal-kilicdaroglu-MSK74743088,8.0,28.05. 07:00
2023-05-24 04:07:32.354355,8368,Recep Tayyip Erdogan,/stavkovanie/politika/turecko-prezidentske-volby-2023/recep-tayyip-erdogan-MSK74743085,1.05,28.05. 07:00
2023-05-24 04:07:32.354355,8369,Kemal Kilicdaroglu,/stavkovanie/politika/turecko-prezidentske-volby-2023/kemal-kilicdaroglu-MSK74743088,8.0,28.05. 07:00
2023-05-24 16:07:11.563002,8368,Recep Tayyip Erdogan,/stavkovanie/politika/turecko-prezidentske-volby-2023/recep-tayyip-erdogan-MSK74743085,1.02,28.05. 07:00
2023-05-24 16:07:11.563002,8369,Kemal Kilicdaroglu,/stavkovanie/politika/turecko-prezidentske-volby-2023/kemal-kilicdaroglu-MSK74743088,11.0,28.05. 07:00
2023-05-25 04:07:19.383577,8368,Recep Tayyip Erdogan,/stavkovanie/politika/turecko-prezidentske-volby-2023/recep-tayyip-erdogan-MSK74743085,1.02,28.05. 07:00
2023-05-25 04:07:19.383577,8369,Kemal Kilicdaroglu,/stavkovanie/politika/turecko-prezidentske-volby-2023/kemal-kilicdaroglu-MSK74743088,11.0,28.05. 07:00
2023-05-25 16:07:10.968686,8368,Recep Tayyip Erdogan,/stavkovanie/politika/turecko-prezidentske-volby-2023/recep-tayyip-erdogan-MSK74743085,1.02,28.05. 07:00
2023-05-25 16:07:10.968686,8369,Kemal Kilicdaroglu,/stavkovanie/politika/turecko-prezidentske-volby-2023/kemal-kilicdaroglu-MSK74743088,11.0,28.05. 07:00
2023-05-26 04:07:33.596811,8368,Recep Tayyip Erdogan,/stavkovanie/politika/turecko-prezidentske-volby-2023/recep-tayyip-erdogan-MSK74743085,1.02,28.05. 07:00
2023-05-26 04:07:33.596811,8369,Kemal Kilicdaroglu,/stavkovanie/politika/turecko-prezidentske-volby-2023/kemal-kilicdaroglu-MSK74743088,11.0,28.05. 07:00
2023-05-26 16:07:22.526393,8368,Recep Tayyip Erdogan,/stavkovanie/politika/turecko-prezidentske-volby-2023/recep-tayyip-erdogan-MSK74743085,1.03,28.05. 07:00
2023-05-26 16:07:22.526393,8369,Kemal Kilicdaroglu,/stavkovanie/politika/turecko-prezidentske-volby-2023/kemal-kilicdaroglu-MSK74743088,10.0,28.05. 07:00
2023-05-27 04:07:04.804848,8368,Recep Tayyip Erdogan,/stavkovanie/politika/turecko-prezidentske-volby-2023/recep-tayyip-erdogan-MSK74743085,1.03,28.05. 07:00
2023-05-27 04:07:04.804848,8369,Kemal Kilicdaroglu,/stavkovanie/politika/turecko-prezidentske-volby-2023/kemal-kilicdaroglu-MSK74743088,10.00,28.05. 07:00
