date,event_info_number,event_name,event_link,odds,datum,odds2
2024-09-12 12:11:18.258524,9022,Červíček Martin brig. gen. v. v. Mgr.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/cervicek-martin-brig-gen-v-v-mgr--MCZ135708720,1.1,20.09. 14:00,-1.0
2024-09-12 12:11:18.258524,9015,Borůvka Jan Bc.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/boruvka-jan-bc--MCZ135708715,5.0,20.09. 14:00,-1.0
2024-09-12 12:11:18.258524,9024,Magnusek Tomáš,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/magnusek-tomas-MCZ135708721,15.0,20.09. 14:00,-1.0
2024-09-12 20:07:30.751272,9022,Červíček Martin brig. gen. v. v. Mgr.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/cervicek-martin-brig-gen-v-v-mgr--MCZ135708720,1.1,20.09. 14:00,-1.0
2024-09-12 20:07:30.751272,9015,Borůvka Jan Bc.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/boruvka-jan-bc--MCZ135708715,5.0,20.09. 14:00,-1.0
2024-09-12 20:07:30.751272,9024,Magnusek Tomáš,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/magnusek-tomas-MCZ135708721,15.0,20.09. 14:00,-1.0
2024-09-13 04:08:26.355157,9022,Červíček Martin brig. gen. v. v. Mgr.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/cervicek-martin-brig-gen-v-v-mgr--MCZ135708720,1.1,20.09. 14:00,-1.0
2024-09-13 04:08:26.355157,9015,Borůvka Jan Bc.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/boruvka-jan-bc--MCZ135708715,5.0,20.09. 14:00,-1.0
2024-09-13 04:08:26.355157,9024,Magnusek Tomáš,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/magnusek-tomas-MCZ135708721,15.0,20.09. 14:00,-1.0
2024-09-13 12:10:40.204463,9022,Červíček Martin brig. gen. v. v. Mgr.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/cervicek-martin-brig-gen-v-v-mgr--MCZ135708720,1.1,20.09. 14:00,-1.0
2024-09-13 12:10:40.204463,9015,Borůvka Jan Bc.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/boruvka-jan-bc--MCZ135708715,5.0,20.09. 14:00,-1.0
2024-09-13 12:10:40.204463,9024,Magnusek Tomáš,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/magnusek-tomas-MCZ135708721,15.0,20.09. 14:00,-1.0
2024-09-13 20:07:22.238738,9022,Červíček Martin brig. gen. v. v. Mgr.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/cervicek-martin-brig-gen-v-v-mgr--MCZ135708720,1.1,20.09. 14:00,-1.0
2024-09-13 20:07:22.238738,9015,Borůvka Jan Bc.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/boruvka-jan-bc--MCZ135708715,5.0,20.09. 14:00,-1.0
2024-09-13 20:07:22.238738,9024,Magnusek Tomáš,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/magnusek-tomas-MCZ135708721,15.0,20.09. 14:00,-1.0
2024-09-14 04:08:07.118152,9022,Červíček Martin brig. gen. v. v. Mgr.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/cervicek-martin-brig-gen-v-v-mgr--MCZ135708720,1.1,20.09. 14:00,-1.0
2024-09-14 04:08:07.118152,9015,Borůvka Jan Bc.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/boruvka-jan-bc--MCZ135708715,5.0,20.09. 14:00,-1.0
2024-09-14 04:08:07.118152,9024,Magnusek Tomáš,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/magnusek-tomas-MCZ135708721,15.0,20.09. 14:00,-1.0
2024-09-14 12:09:43.445275,9022,Červíček Martin brig. gen. v. v. Mgr.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/cervicek-martin-brig-gen-v-v-mgr--MCZ135708720,1.1,20.09. 14:00,-1.0
2024-09-14 12:09:43.445275,9015,Borůvka Jan Bc.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/boruvka-jan-bc--MCZ135708715,5.0,20.09. 14:00,-1.0
2024-09-14 12:09:43.445275,9024,Magnusek Tomáš,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/magnusek-tomas-MCZ135708721,15.0,20.09. 14:00,-1.0
2024-09-14 20:07:08.268181,9022,Červíček Martin brig. gen. v. v. Mgr.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/cervicek-martin-brig-gen-v-v-mgr--MCZ135708720,1.10,20.09. 14:00,-1.00
2024-09-14 20:07:08.268181,9015,Borůvka Jan Bc.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/boruvka-jan-bc--MCZ135708715,5.00,20.09. 14:00,-1.00
2024-09-14 20:07:08.268181,9024,Magnusek Tomáš,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-47-nachod-celkove/magnusek-tomas-MCZ135708721,15.00,20.09. 14:00,-1.00
