date,event_info_number,event_name,event_link,odds,datum
2023-07-26 16:07:03.099751,12709,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152940,1.88,1.8
2023-07-27 04:07:06.729072,12709,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152940,1.88,1.8
2023-07-27 16:07:05.998304,12709,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152940,2.01,1.7
2023-07-28 04:07:12.039291,12709,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152940,2.01,1.7
2023-07-28 16:07:03.338615,12709,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152940,1.94,1.75
2023-07-29 04:07:12.054479,12709,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152940,1.94,1.75
2023-07-29 16:07:08.554240,12709,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152940,1.9,1.78
2023-07-30 04:07:17.528625,12709,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152940,1.82,1.86
