date,event_info_number,event_name,event_link,odds,datum,odds2
2024-06-28 12:09:48.758224,5325,Labouristická strana,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/labour-party-MSK118834120,1.01,04.07. 08:00,04.07. 08:00
2024-06-28 12:09:48.758224,5330,Konzervatívna strana,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/conservative-party-MSK118834173,40.00,04.07. 08:00,04.07. 08:00
2024-06-28 12:09:48.758224,5349,Reform UK,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/reform-uk-MSK118834437,50.00,04.07. 08:00,04.07. 08:00
2024-06-28 12:09:48.758224,5351,Liberálni demokrati,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/liberal-democrats-MSK118834483,750.00,04.07. 08:00,04.07. 08:00
2024-06-28 12:09:48.758224,5354,Green Party,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/green-party-MSK118835020,1 000.00,04.07. 08:00,04.07. 08:00
2024-06-28 20:07:18.776427,5325,Labouristická strana,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/labour-party-MSK118834120,1.01,04.07. 08:00,04.07. 08:00
2024-06-28 20:07:18.776427,5330,Konzervatívna strana,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/conservative-party-MSK118834173,40.00,04.07. 08:00,04.07. 08:00
2024-06-28 20:07:18.776427,5349,Reform UK,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/reform-uk-MSK118834437,50.00,04.07. 08:00,04.07. 08:00
2024-06-28 20:07:18.776427,5351,Liberálni demokrati,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/liberal-democrats-MSK118834483,750.00,04.07. 08:00,04.07. 08:00
2024-06-28 20:07:18.776427,5354,Green Party,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/green-party-MSK118835020,1 000.00,04.07. 08:00,04.07. 08:00
2024-06-29 04:08:32.785820,5325,Labouristická strana,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/labour-party-MSK118834120,1.01,04.07. 08:00,04.07. 08:00
2024-06-29 04:08:32.785820,5330,Konzervatívna strana,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/conservative-party-MSK118834173,40.00,04.07. 08:00,04.07. 08:00
2024-06-29 04:08:32.785820,5349,Reform UK,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/reform-uk-MSK118834437,50.00,04.07. 08:00,04.07. 08:00
2024-06-29 04:08:32.785820,5351,Liberálni demokrati,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/liberal-democrats-MSK118834483,750.00,04.07. 08:00,04.07. 08:00
2024-06-29 04:08:32.785820,5354,Green Party,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/green-party-MSK118835020,1 000.00,04.07. 08:00,04.07. 08:00
2024-06-29 12:08:54.321709,5325,Labouristická strana,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/labour-party-MSK118834120,1.01,04.07. 08:00,04.07. 08:00
2024-06-29 12:08:54.321709,5330,Konzervatívna strana,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/conservative-party-MSK118834173,35.00,04.07. 08:00,04.07. 08:00
2024-06-29 12:08:54.321709,5349,Reform UK,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/reform-uk-MSK118834437,50.00,04.07. 08:00,04.07. 08:00
2024-06-29 12:08:54.321709,5351,Liberálni demokrati,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/liberal-democrats-MSK118834483,750.00,04.07. 08:00,04.07. 08:00
2024-06-29 12:08:54.321709,5354,Green Party,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/green-party-MSK118835020,1 000.00,04.07. 08:00,04.07. 08:00
2024-06-29 20:07:11.733608,5325,Labouristická strana,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/labour-party-MSK118834120,1.01,04.07. 08:00,04.07. 08:00
2024-06-29 20:07:11.733608,5330,Konzervatívna strana,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/conservative-party-MSK118834173,35.00,04.07. 08:00,04.07. 08:00
2024-06-29 20:07:11.733608,5349,Reform UK,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/reform-uk-MSK118834437,50.00,04.07. 08:00,04.07. 08:00
2024-06-29 20:07:11.733608,5351,Liberálni demokrati,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/liberal-democrats-MSK118834483,750.00,04.07. 08:00,04.07. 08:00
2024-06-29 20:07:11.733608,5354,Green Party,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/green-party-MSK118835020,1 000.00,04.07. 08:00,04.07. 08:00
2024-06-30 04:07:19.596991,5325,Labouristická strana,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/labour-party-MSK118834120,1.01,04.07. 08:00,04.07. 08:00
2024-06-30 04:07:19.596991,5330,Konzervatívna strana,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/conservative-party-MSK118834173,35.00,04.07. 08:00,04.07. 08:00
2024-06-30 04:07:19.596991,5349,Reform UK,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/reform-uk-MSK118834437,50.00,04.07. 08:00,04.07. 08:00
2024-06-30 04:07:19.596991,5351,Liberálni demokrati,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/liberal-democrats-MSK118834483,750.00,04.07. 08:00,04.07. 08:00
2024-06-30 04:07:19.596991,5354,Green Party,/stavkovanie/politika/velka-britania-vseobecne-volby-2024/green-party-MSK118835020,1 000.00,04.07. 08:00,04.07. 08:00
