date,event_info_number,event_name,event_link,header1,header2,odd1,odd2,datum
2023-08-15 16:07:41.941058,13288,Hlas,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/hlas-MSK78152998,- 10.51,+ 10.51,1.52,2.33,30.09. 07:00
2023-08-15 16:07:41.941058,13472,Hlas,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/hlas-MSK78153001,- 9.51,+ 9.51,2.08,1.65,30.09. 07:00
2023-08-15 16:07:41.941058,13552,Republika,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/republika-MSK78153012,- 5.01,+ 5.01,6.21,1.08,30.09. 07:00
2023-08-15 16:07:41.941058,13560,Republika,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/republika-MSK78153014,- 8.01,+ 8.01,1.75,1.94,30.09. 07:00
2023-08-15 16:07:41.941058,13598,OĽANO A PRIATELIA,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/olano-a-priatelia-MSK78153062,- 5.01,+ 5.01,7.43,1.05,30.09. 07:00
2023-08-15 16:07:41.941058,13600,OĽANO A PRIATELIA,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/olano-a-priatelia-MSK78153064,- 7.01,+ 7.01,2.16,1.6,30.09. 07:00
2023-08-15 16:07:41.941058,13656,SaS,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/sas-MSK78153146,- 5.01,+ 5.01,2.33,1.52,30.09. 07:00
2023-08-15 16:07:41.941058,13724,Sme rodina,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/sme-rodina-MSK78153234,- 5.01,+ 5.01,2.16,1.6,30.09. 07:00
2023-08-15 16:07:41.941058,14433,KDH,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/kdh-MSK78153398,- 5.01,+ 5.01,2.01,1.7,30.09. 07:00
2023-08-15 16:07:41.941058,15238,SNS,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/sns-MSK78153559,- 5.01,+ 5.01,2.68,1.4,30.09. 07:00
2023-08-15 16:07:41.941058,15244,SNS,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/sns-MSK78153569,- 6.51,+ 6.51,1.6,2.16,30.09. 07:00
2023-08-15 16:07:41.941058,15259,Demokrati,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/demokrati-MSK78154836,- 5.01,+ 5.01,1.06,6.97,30.09. 07:00
2023-08-15 16:07:41.941058,15260,Demokrati,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/demokrati-MSK78154873,- 2.51,+ 2.51,1.88,1.8,30.09. 07:00
2023-08-15 16:07:41.941058,15289,Aliancia,/stavkovanie/politika/slovensko-parlamentne-volby-2023-pocet-percent/aliancia-MSK78155189,- 5.01,+ 5.01,1.08,6.21,30.09. 07:00
