date,title,result,odds,date_bet,identifier
2017-05-07T10:01:02.389097,Budou předčasné parlamentní volby (před 20.10.2017),V,2.5,8.5. 12:00,61535
2017-05-07T22:01:24.299243,Budou předčasné parlamentní volby (před 20.10.2017),V,2.5,8.5. 12:00,61535
2017-05-08T10:01:02.978530,Budou předčasné parlamentní volby (před 20.10.2017),V,2.5,9.5. 12:00,61535
2017-05-08T22:01:41.174581,Budou předčasné parlamentní volby (před 20.10.2017),V,2.5,9.5. 12:00,61535
2017-05-09T10:01:03.312242,Budou předčasné parlamentní volby (před 20.10.2017),V,2.75,12.5. 12:00,61535
2017-05-09T22:01:02.810912,Budou předčasné parlamentní volby (před 20.10.2017),V,2.75,12.5. 12:00,61535
2017-05-10T10:01:02.954482,Budou předčasné parlamentní volby (před 20.10.2017),V,2.75,12.5. 12:00,61535
