date,market_title,title,identifier,odd_name,value
2021-09-30T16:29:20.986954,Vítěz,ANO 2011,6736,Vítěz,1.2
2021-09-30T16:29:20.986954,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,4.75
2021-09-30T16:29:20.986954,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-09-30T16:29:20.986954,Vítěz,SPD,6739,Vítěz,150.0
2021-09-30T16:29:20.986954,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-01T04:24:57.629568,Vítěz,ANO 2011,6736,Vítěz,1.2
2021-10-01T04:24:57.629568,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,4.75
2021-10-01T04:24:57.629568,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-01T04:24:57.629568,Vítěz,SPD,6739,Vítěz,150.0
2021-10-01T04:24:57.629568,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-01T16:30:29.456779,Vítěz,ANO 2011,6736,Vítěz,1.22
2021-10-01T16:30:29.456779,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,4.5
2021-10-01T16:30:29.456779,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-01T16:30:29.456779,Vítěz,SPD,6739,Vítěz,150.0
2021-10-01T16:30:29.456779,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-02T04:24:45.529436,Vítěz,ANO 2011,6736,Vítěz,1.22
2021-10-02T04:24:45.529436,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,4.5
2021-10-02T04:24:45.529436,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-02T04:24:45.529436,Vítěz,SPD,6739,Vítěz,150.0
2021-10-02T04:24:45.529436,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-02T16:28:20.234542,Vítěz,ANO 2011,6736,Vítěz,1.22
2021-10-02T16:28:20.234542,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,4.5
2021-10-02T16:28:20.234542,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-02T16:28:20.234542,Vítěz,SPD,6739,Vítěz,150.0
2021-10-02T16:28:20.234542,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-03T04:24:35.565987,Vítěz,ANO 2011,6736,Vítěz,1.22
2021-10-03T04:24:35.565987,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,4.5
2021-10-03T04:24:35.565987,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-03T04:24:35.565987,Vítěz,SPD,6739,Vítěz,150.0
2021-10-03T04:24:35.565987,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-03T16:28:13.245684,Vítěz,ANO 2011,6736,Vítěz,1.25
2021-10-03T16:28:13.245684,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,4.0
2021-10-03T16:28:13.245684,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-03T16:28:13.245684,Vítěz,SPD,6739,Vítěz,150.0
2021-10-03T16:28:13.245684,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-04T04:25:03.649162,Vítěz,ANO 2011,6736,Vítěz,1.29
2021-10-04T04:25:03.649162,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,3.2
2021-10-04T04:25:03.649162,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-04T04:25:03.649162,Vítěz,SPD,6739,Vítěz,150.0
2021-10-04T04:25:03.649162,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-04T16:29:17.826682,Vítěz,ANO 2011,6736,Vítěz,1.3
2021-10-04T16:29:17.826682,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,3.2
2021-10-04T16:29:17.826682,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-04T16:29:17.826682,Vítěz,SPD,6739,Vítěz,150.0
2021-10-04T16:29:17.826682,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-05T04:25:26.636240,Vítěz,ANO 2011,6736,Vítěz,1.3
2021-10-05T04:25:26.636240,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,3.2
2021-10-05T04:25:26.636240,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-05T04:25:26.636240,Vítěz,SPD,6739,Vítěz,150.0
2021-10-05T04:25:26.636240,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-05T16:29:54.036073,Vítěz,ANO 2011,6736,Vítěz,1.33
2021-10-05T16:29:54.036073,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,3.0
2021-10-05T16:29:54.036073,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-05T16:29:54.036073,Vítěz,SPD,6739,Vítěz,150.0
2021-10-05T16:29:54.036073,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-06T04:24:41.320524,Vítěz,ANO 2011,6736,Vítěz,1.33
2021-10-06T04:24:41.320524,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,3.0
2021-10-06T04:24:41.320524,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-06T04:24:41.320524,Vítěz,SPD,6739,Vítěz,150.0
2021-10-06T04:24:41.320524,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-06T16:26:44.962840,Vítěz,ANO 2011,6736,Vítěz,1.33
2021-10-06T16:26:44.962840,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,3.0
2021-10-06T16:26:44.962840,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-06T16:26:44.962840,Vítěz,SPD,6739,Vítěz,150.0
2021-10-06T16:26:44.962840,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-07T04:25:15.960113,Vítěz,ANO 2011,6736,Vítěz,1.33
2021-10-07T04:25:15.960113,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,3.0
2021-10-07T04:25:15.960113,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-07T04:25:15.960113,Vítěz,SPD,6739,Vítěz,150.0
2021-10-07T04:25:15.960113,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-07T16:24:41.623196,Vítěz,ANO 2011,6736,Vítěz,1.33
2021-10-07T16:24:41.623196,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,3.0
2021-10-07T16:24:41.623196,Vítěz,Piráti+STAN,6738,Vítěz,9.0
2021-10-07T16:24:41.623196,Vítěz,SPD,6739,Vítěz,150.0
2021-10-07T16:24:41.623196,Vítěz,ČSSD,6740,Vítěz,250.0
2021-10-08T04:25:01.967889,Vítěz,ANO 2011,6736,Vítěz,1.3
2021-10-08T04:25:01.967889,Vítěz,"SPOLU (ODS, KDU-ČSL, TOP 09)",6737,Vítěz,3.0
2021-10-08T04:25:01.967889,Vítěz,Piráti+STAN,6738,Vítěz,10.0
2021-10-08T04:25:01.967889,Vítěz,SPD,6739,Vítěz,150.0
2021-10-08T04:25:01.967889,Vítěz,ČSSD,6740,Vítěz,250.0
