date,title,result,odds,date_bet,identifier
2017-10-12T10:01:02.661365,ANO 2011 - ČSSD 2017,1,1.01,20.10. 14:00,90155
2017-10-12T10:01:02.661365,ANO 2011 - ČSSD 2017,2,12,20.10. 14:00,90155
2017-10-12T10:01:02.661365,ČSSD - KSČM 2017,1,1.55,20.10. 14:00,90156
2017-10-12T10:01:02.661365,ČSSD - KSČM 2017,2,2.26,20.10. 14:00,90156
2017-10-12T10:01:02.661365,KSČM - ODS 2017,1,1.27,20.10. 14:00,90157
2017-10-12T10:01:02.661365,KSČM - ODS 2017,2,3.34,20.10. 14:00,90157
2017-10-12T10:01:02.661365,ODS - SPD 2017,1,1.67,20.10. 14:00,90159
2017-10-12T10:01:02.661365,ODS - SPD 2017,2,2.05,20.10. 14:00,90159
2017-10-12T10:01:02.661365,TOP 09 - KDU-ČSL 2017,1,1.7,20.10. 14:00,90160
2017-10-12T10:01:02.661365,TOP 09 - KDU-ČSL 2017,2,2.01,20.10. 14:00,90160
2017-10-12T10:01:02.661365,STAN - Realisté 2017,1,1.22,20.10. 14:00,90161
2017-10-12T10:01:02.661365,STAN - Realisté 2017,2,3.74,20.10. 14:00,90161
2017-10-12T10:01:02.661365,Zelení - Svobodní 2017,1,1.67,20.10. 14:00,90162
2017-10-12T10:01:02.661365,Zelení - Svobodní 2017,2,2.05,20.10. 14:00,90162
2017-10-12T10:01:02.661365,Piráti - KDU-ČSL 2017,1,1.63,20.10. 14:00,90163
2017-10-12T10:01:02.661365,Piráti - KDU-ČSL 2017,2,2.11,20.10. 14:00,90163
2017-10-12T22:01:02.702462,ANO 2011 - ČSSD 2017,1,1.01,20.10. 14:00,90155
2017-10-12T22:01:02.702462,ANO 2011 - ČSSD 2017,2,12,20.10. 14:00,90155
2017-10-12T22:01:02.702462,KSČM - ODS 2017,1,1.27,20.10. 14:00,90157
2017-10-12T22:01:02.702462,KSČM - ODS 2017,2,3.34,20.10. 14:00,90157
2017-10-12T22:01:02.702462,ODS - SPD 2017,1,1.65,20.10. 14:00,90159
2017-10-12T22:01:02.702462,ODS - SPD 2017,2,2.05,20.10. 14:00,90159
2017-10-12T22:01:02.702462,TOP 09 - KDU-ČSL 2017,1,1.7,20.10. 14:00,90160
2017-10-12T22:01:02.702462,TOP 09 - KDU-ČSL 2017,2,2.01,20.10. 14:00,90160
2017-10-12T22:01:02.702462,STAN - Realisté 2017,1,1.17,20.10. 14:00,90161
2017-10-12T22:01:02.702462,STAN - Realisté 2017,2,4.31,20.10. 14:00,90161
2017-10-12T22:01:02.702462,Zelení - Svobodní 2017,1,1.55,20.10. 14:00,90162
2017-10-12T22:01:02.702462,Zelení - Svobodní 2017,2,2.26,20.10. 14:00,90162
2017-10-12T22:01:02.702462,Piráti - KDU-ČSL 2017,1,1.4,20.10. 14:00,90163
