date,title,result,odds,date_bet,identifier
2017-03-29T10:01:03.170852,Marine Le Penová,V,1.7,10.4. 06:00,60090
2017-03-29T10:01:03.170852,Marine Le Penová,1-2,1.1,10.4. 06:00,60090
2017-03-29T10:01:03.170852,Emmanuel Macron,V,2.2,10.4. 06:00,60091
2017-03-29T10:01:03.170852,Emmanuel Macron,1-2,1.25,10.4. 06:00,60091
2017-03-29T10:01:03.170852,Francois Fillon,V,17,10.4. 06:00,60359
2017-03-29T10:01:03.170852,Francois Fillon,1-2,4.5,10.4. 06:00,60359
2017-03-29T10:01:03.170852,Benoit Hamon,V,100,10.4. 06:00,60391
2017-03-29T10:01:03.170852,Benoit Hamon,1-2,20,10.4. 06:00,60391
2017-03-29T22:01:03.108259,Marine Le Penová,V,1.7,10.4. 06:00,60090
2017-03-29T22:01:03.108259,Marine Le Penová,1-2,1.1,10.4. 06:00,60090
2017-03-29T22:01:03.108259,Emmanuel Macron,V,2.15,10.4. 06:00,60091
2017-03-29T22:01:03.108259,Emmanuel Macron,1-2,1.25,10.4. 06:00,60091
2017-03-29T22:01:03.108259,Francois Fillon,V,16,10.4. 06:00,60359
2017-03-29T22:01:03.108259,Francois Fillon,1-2,4,10.4. 06:00,60359
2017-03-29T22:01:03.108259,Benoit Hamon,V,100,10.4. 06:00,60391
2017-03-29T22:01:03.108259,Benoit Hamon,1-2,20,10.4. 06:00,60391
2017-03-30T10:01:02.435659,Marine Le Penová,V,1.1,10.4. 06:00,60090
2017-03-30T10:01:02.435659,Emmanuel Macron,V,1.25,10.4. 06:00,60091
2017-03-30T10:01:02.435659,Francois Fillon,V,16,10.4. 06:00,60359
2017-03-30T10:01:02.435659,Francois Fillon,1-2,4,10.4. 06:00,60359
2017-03-30T10:01:02.435659,Benoit Hamon,V,100,10.4. 06:00,60391
2017-03-30T10:01:02.435659,Benoit Hamon,1-2,20,10.4. 06:00,60391
2017-03-30T22:01:02.036625,Marine Le Penová,V,1.75,10.4. 06:00,60090
2017-03-30T22:01:02.036625,Marine Le Penová,1-2,1.09,10.4. 06:00,60090
2017-03-30T22:01:02.036625,Emmanuel Macron,V,1.9,10.4. 06:00,60091
2017-03-30T22:01:02.036625,Emmanuel Macron,1-2,1.23,10.4. 06:00,60091
2017-03-30T22:01:02.036625,Francois Fillon,V,16,10.4. 06:00,60359
2017-03-30T22:01:02.036625,Francois Fillon,1-2,4,10.4. 06:00,60359
2017-03-30T22:01:02.036625,Benoit Hamon,V,100,10.4. 06:00,60391
2017-03-30T22:01:02.036625,Benoit Hamon,1-2,20,10.4. 06:00,60391
2017-03-31T10:01:03.967858,Marine Le Penová,V,1.75,10.4. 06:00,60090
2017-03-31T10:01:03.967858,Marine Le Penová,1-2,1.09,10.4. 06:00,60090
2017-03-31T10:01:03.967858,Emmanuel Macron,V,1.9,10.4. 06:00,60091
2017-03-31T10:01:03.967858,Emmanuel Macron,1-2,1.23,10.4. 06:00,60091
2017-03-31T10:01:03.967858,Francois Fillon,V,16,10.4. 06:00,60359
2017-03-31T10:01:03.967858,Francois Fillon,1-2,4,10.4. 06:00,60359
2017-03-31T10:01:03.967858,Benoit Hamon,V,100,10.4. 06:00,60391
2017-03-31T10:01:03.967858,Benoit Hamon,1-2,20,10.4. 06:00,60391
