date,title,result,odds,date_bet,identifier
2017-10-14T22:01:04.647789,TOP 09 2017,Vítěz,1.85,20.10. 14:00,90164
2017-10-14T22:01:04.647789,ANO 2011 2017,Vítěz,2,20.10. 14:00,90165
2017-10-14T22:01:04.647789,ODS 2017,Vítěz,7,20.10. 14:00,90166
2017-10-14T22:01:04.647789,ČSSD 2017,Vítěz,33,20.10. 14:00,90167
2017-10-14T22:01:04.647789,KSČM 2017,Vítěz,80,20.10. 14:00,90168
2017-10-14T22:01:04.647789,KDU-ČSL 2017,Vítěz,85,20.10. 14:00,90169
2017-10-14T22:01:04.647789,SPD 2017,Vítěz,100,20.10. 14:00,90170
2017-10-14T22:01:04.647789,Zelení 2017,Vítěz,200,20.10. 14:00,90172
2017-10-15T10:01:02.023930,TOP 09 2017,Vítěz,1.85,20.10. 14:00,90164
2017-10-15T10:01:02.023930,ANO 2011 2017,Vítěz,2,20.10. 14:00,90165
2017-10-15T10:01:02.023930,ODS 2017,Vítěz,7,20.10. 14:00,90166
2017-10-15T10:01:02.023930,ČSSD 2017,Vítěz,33,20.10. 14:00,90167
2017-10-15T10:01:02.023930,KSČM 2017,Vítěz,80,20.10. 14:00,90168
2017-10-15T10:01:02.023930,KDU-ČSL 2017,Vítěz,85,20.10. 14:00,90169
2017-10-15T10:01:02.023930,SPD 2017,Vítěz,100,20.10. 14:00,90170
2017-10-15T10:01:02.023930,Piráti 2017,Vítěz,33,20.10. 14:00,90171
2017-10-15T10:01:02.023930,Zelení 2017,Vítěz,200,20.10. 14:00,90172
2017-10-15T22:01:03.174969,TOP 09 2017,Vítěz,1.85,20.10. 14:00,90164
2017-10-15T22:01:03.174969,ANO 2011 2017,Vítěz,2,20.10. 14:00,90165
2017-10-15T22:01:03.174969,ODS 2017,Vítěz,7,20.10. 14:00,90166
2017-10-15T22:01:03.174969,ČSSD 2017,Vítěz,33,20.10. 14:00,90167
2017-10-15T22:01:03.174969,KSČM 2017,Vítěz,80,20.10. 14:00,90168
2017-10-15T22:01:03.174969,KDU-ČSL 2017,Vítěz,85,20.10. 14:00,90169
2017-10-15T22:01:03.174969,SPD 2017,Vítěz,100,20.10. 14:00,90170
2017-10-15T22:01:03.174969,Piráti 2017,Vítěz,33,20.10. 14:00,90171
2017-10-15T22:01:03.174969,Zelení 2017,Vítěz,200,20.10. 14:00,90172
2017-10-16T10:01:02.213627,TOP 09 2017,Vítěz,1.85,20.10. 14:00,90164
2017-10-16T10:01:02.213627,ANO 2011 2017,Vítěz,2,20.10. 14:00,90165
2017-10-16T10:01:02.213627,ODS 2017,Vítěz,7,20.10. 14:00,90166
2017-10-16T10:01:02.213627,ČSSD 2017,Vítěz,33,20.10. 14:00,90167
2017-10-16T10:01:02.213627,KSČM 2017,Vítěz,80,20.10. 14:00,90168
2017-10-16T10:01:02.213627,KDU-ČSL 2017,Vítěz,85,20.10. 14:00,90169
2017-10-16T10:01:02.213627,SPD 2017,Vítěz,100,20.10. 14:00,90170
2017-10-16T10:01:02.213627,Piráti 2017,Vítěz,33,20.10. 14:00,90171
2017-10-16T10:01:02.213627,Zelení 2017,Vítěz,200,20.10. 14:00,90172
2017-10-16T22:01:01.796239,TOP 09 2017,Vítěz,2,20.10. 14:00,90164
2017-10-16T22:01:01.796239,ANO 2011 2017,Vítěz,2,20.10. 14:00,90165
