date,Demokrati,HLAS-SD,KDH,Maďarská aliancia,Republika,SNS,SaS,"Slovensko, Za ľudí",ĽSNS
2024-05-30,35.0,1.6,5.0,30.0,2.1,50.0,12.0,30.0,100.0
2024-05-31,35.0,1.5,5.0,30.0,2.31,50.0,12.0,30.0,100.0
2024-06-01,35.0,1.5,5.0,30.0,2.31,50.0,12.0,30.0,100.0
