date,ANO,Piráti,"SPOLU pro Liberecký kraj (ODS, TOP09, KDU-ČSL)",Starostové pro Liberecký kraj
2024-09-06,2.5,50.0,20.0,1.4
2024-09-07,2.5,50.0,20.0,1.3999999999999997
2024-09-08,2.566666666666667,50.0,20.0,1.3833333333333335
2024-09-09,2.7000000000000006,50.0,20.0,1.3500000000000003
2024-09-10,2.7,50.0,20.0,1.35
2024-09-11,2.7000000000000006,50.0,20.0,1.3500000000000003
2024-09-12,2.7000000000000006,50.0,20.0,1.3500000000000003
2024-09-13,2.9,50.0,20.0,1.3166666666666667
2024-09-14,3.2999999999999994,50.0,20.0,1.25
2024-09-15,3.2999999999999994,50.0,20.0,1.25
