date,Andrej Danko,Igor Matovič,Ján Kubiš,Krisztián Forró,Marian Kotleba,Milan Náhlik,Patrik Dubovský,Róbert Švec
2024-03-15,15.0,1.5,3.5,5.0,20.0,50.0,30.0,50.0
2024-03-16,15.0,1.55,3.0,5.0,20.0,50.0,30.0,50.0
2024-03-17,16.666666666666668,1.5166666666666666,3.1666666666666665,5.0,20.0,50.0,30.0,50.0
2024-03-18,20.0,1.4230769230769231,4.3076923076923075,5.0,25.384615384615383,50.0,40.76923076923077,50.0
2024-03-19,,1.4,5.0,5.0,30.0,50.0,50.0,50.0
