date,Andrej Danko - Krisztián Forró,Andrej Danko - Marian Kotleba,Igor Matovič - Andrej Danko,Igor Matovič - Ján Kubiš,Ján Kubiš - Andrej Danko,Ján Kubiš - Krisztián Forró,Krisztián Forró - Marian Kotleba,Marian Kotleba - Patrik Dubovský,Peter Pellegrini - Ivan Korčok,Róbert Švec - Milan Náhlik,Štefan Harabin - Andrej Danko,Štefan Harabin - Igor Matovič,Štefan Harabin - Ján Kubiš
2024-02-05,1.8,,1.45,1.75,1.5,1.4,1.25,1.795,1.4449999999999998,1.75,1.05,1.08,1.05
2024-02-06,1.84,,1.3,1.6,1.5,1.5,1.3,1.55,1.4,,1.03,1.15,1.05
2024-02-07,1.8133333333333335,,1.2666666666666666,1.5666666666666667,1.5,1.5466666666666666,1.3,1.55,1.3999999999999997,,1.03,1.16,1.05
2024-02-08,1.8,,1.25,1.55,1.5,1.64,1.3,1.55,1.4333333333333333,,1.03,1.2066666666666668,1.05
2024-02-09,1.8,,1.25,1.55,1.5,1.64,1.2666666666666666,1.55,1.55,,1.03,1.22,1.05
2024-02-10,1.8,,1.25,1.55,1.5,1.64,1.25,1.5,1.55,,1.03,1.22,1.05
2024-02-11,1.8,,1.25,1.55,1.5,1.64,1.25,1.3,1.5666666666666667,,1.03,1.22,1.05
2024-02-12,1.8,,1.25,1.55,1.5,1.64,1.25,1.2,1.6000000000000003,,1.03,1.22,1.05
2024-02-13,1.8466666666666667,,1.25,1.55,1.5,1.64,1.25,1.2,1.6333333333333335,,1.03,1.2,1.05
2024-02-14,1.9400000000000002,,1.25,1.55,1.5,1.64,1.25,1.2,1.7,,1.03,1.13,1.05
2024-02-15,1.9400000000000002,,1.25,1.55,1.5,1.64,1.25,1.2,1.7,,1.03,1.13,1.05
2024-02-16,1.9866666666666664,,1.1833333333333333,1.3833333333333335,1.4666666666666668,1.64,1.1833333333333333,1.4000000000000001,1.7166666666666668,,1.03,1.1500000000000001,1.05
2024-02-17,2.01,,1.15,1.3,1.42,1.64,1.15,1.45,1.7,,1.03,1.16,1.05
2024-02-18,2.01,,1.15,1.33,1.42,1.64,1.15,1.45,1.7,,1.03,1.16,1.05
2024-02-19,2.085,,1.125,1.315,1.385,1.595,1.1749999999999998,1.4249999999999998,1.8,,1.025,1.16,1.04
2024-02-20,2.16,,1.1,1.3,1.3500000000000003,1.55,1.2,1.3999999999999997,1.8500000000000003,,1.02,1.16,1.03
2024-02-21,2.16,1.75,1.1,1.3,1.3333333333333333,1.55,1.3133333333333335,1.5166666666666666,1.78,,1.02,1.16,1.03
2024-02-22,2.16,1.75,1.1,1.3,1.3,1.55,1.37,1.4666666666666668,1.7033333333333331,,1.02,1.16,1.03
2024-02-23,2.1933333333333334,1.75,1.1,1.3,1.3,1.55,1.37,1.5,1.6533333333333333,,1.02,1.16,1.03
2024-02-24,2.38,1.75,1.1,1.3,1.2266666666666666,1.55,1.3233333333333333,1.5,1.62,,1.02,1.16,1.03
2024-02-25,2.38,1.75,1.1,1.3,1.22,1.55,1.3,1.5,1.62,,1.02,1.16,1.03
2024-02-26,2.38,1.75,1.1,1.3,1.22,1.55,1.3,1.5,1.6166666666666665,,1.02,1.16,
2024-02-27,,,,1.31,,1.5666666666666667,1.3,1.45,1.6666666666666667,,,1.1,1.03
2024-02-28,,,,1.3,,1.6000000000000003,1.3,1.45,1.6333333333333335,,,1.08,1.03
2024-02-29,,,,1.3,,1.6000000000000003,1.3,1.45,1.6499999999999997,,,1.08,1.03
2024-03-01,,,,1.3333333333333333,,1.6833333333333333,1.3,1.45,1.6633333333333333,,,1.0599999999999998,1.0233333333333332
2024-03-02,,,,1.3500000000000003,,1.7,1.3,1.45,1.7833333333333332,,,1.05,1.02
2024-03-03,,,,1.35,,1.7,1.3,1.45,1.75,,,1.05,1.02
