date,Brand Roman Ing.,Drozd Štefan Ing.,Hahnová Elvíra Bc.,Komínek Jaroslav,Kulhánek Jiří PaedDr.,Rabas Přemysl MVDr.,Smetana Jiří Ing. MPA
2024-09-12,15.0,6.0,15.0,15.0,2.5,1.45,20.0
2024-09-13,15.0,6.0,15.0,15.0,2.45,1.475,20.0
