date,Donald Trump - Kamala Harris
2024-09-18,30.0
2024-09-19,30.0
2024-09-20,30.0
2024-09-21,30.0
2024-09-22,30.0
2024-09-23,30.0
2024-09-24,30.0
2024-09-25,30.0
2024-09-26,30.0
2024-09-27,30.0
2024-09-28,30.0
2024-09-29,30.0
2024-09-30,30.0
2024-10-01,30.0
2024-10-02,30.0
2024-10-03,30.0
2024-10-04,30.0
2024-10-05,30.0
2024-10-06,30.0
2024-10-07,30.0
2024-10-08,30.0
2024-10-09,30.0
2024-10-10,30.0
2024-10-11,30.0
2024-10-12,30.0
2024-10-13,30.0
2024-10-14,30.0
2024-10-15,30.0
2024-10-16,30.0
2024-10-17,30.0
2024-10-18,30.0
2024-10-19,30.0
2024-10-20,30.0
2024-10-21,30.0
2024-10-22,30.0
2024-10-23,30.0
2024-10-24,30.0
2024-10-25,30.0
2024-10-26,30.0
2024-10-27,30.0
2024-10-28,30.0
2024-10-29,30.0
