date,Filip Vojtěch JUDr.,Kupilík Václav,"Ondřich Ladislav Ing. MBA, LL.M.",Sýkora Zbyněk Bc. MBA,Thoma Juraj Mgr.,"Tkaczik Jan PhDr. Mgr. Ph.D., mjr. v.v."
2024-09-12,6.0,50.0,4.0,1.8,3.5,40.0
2024-09-13,6.0,50.0,4.0,1.8,3.5,40.0
2024-09-14,6.0,50.0,4.0,1.8,3.5,40.0
2024-09-15,6.0,50.0,4.0,1.8,3.5,40.0
2024-09-16,6.0,50.0,4.0,1.8,3.5,40.0
2024-09-17,6.0,50.0,4.0,1.8,3.5,40.0
2024-09-18,6.0,50.0,4.0,1.8,3.5,40.0
