date,Donald Trump - Kamala Harris
2024-09-18,1.6
2024-09-19,1.6000000000000003
2024-09-20,1.6000000000000003
2024-09-21,1.6000000000000003
2024-09-22,1.6000000000000003
2024-09-23,1.6000000000000003
2024-09-24,1.6000000000000003
2024-09-25,1.6000000000000003
2024-09-26,1.6000000000000003
2024-09-27,1.6000000000000003
2024-09-28,1.6000000000000003
2024-09-29,1.6000000000000003
2024-09-30,1.6000000000000003
2024-10-01,1.6000000000000003
2024-10-02,1.5333333333333332
2024-10-03,1.5
2024-10-04,1.5
2024-10-05,1.5
2024-10-06,1.5
2024-10-07,1.5
2024-10-08,1.5
2024-10-09,1.5
2024-10-10,1.4833333333333334
2024-10-11,1.45
2024-10-12,1.45
2024-10-13,1.45
2024-10-14,1.45
2024-10-15,1.4333333333333333
2024-10-16,1.3500000000000003
2024-10-17,1.3999999999999997
2024-10-18,1.39
2024-10-19,1.37
2024-10-20,1.3566666666666667
2024-10-21,1.39
2024-10-22,1.37
2024-10-23,1.37
2024-10-24,1.37
2024-10-25,1.37
