date,Alena Schillerová,Andrej Babiš,Daniel Vávra,Danuše Nerudová,Dominik Hašek,Filip Turek,Ivan Bartoš,Jaromír Jágr,Jaroslav Bašta,Josef Středula,Karel Diviš,Karel Havlíček,Karel Janeček,Lenka Bradáčová,Leoš Mareš,Marek Hilšer,Markéta Pekarová Adamová,Martin Stropnický,Miloš Vystrčil,Miloš Zeman,Miroslav Kalousek,Miroslava Němcová,Monika Babišová,Pavel Fischer,Pavel Novotný,Pavel Zítko,Petr Fiala,Petr Macinka,Petr Pavel,Tomio Okamura,Tomáš Sedláček,Vladimír Špidla,Václav Klaus st.,Vít Rakušan,Věra Jourová,Zdeněk Škromach,muž,žena
2023-10-23,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.10000000000002,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2000000000000002,4.0
2023-10-24,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.10000000000002,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2000000000000002,4.0
2023-10-25,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.10000000000005,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.1999999999999997,4.0
2023-10-26,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-10-27,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-10-28,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-10-29,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-10-30,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-10-31,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-01,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-02,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-03,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-04,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-05,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-06,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-07,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-08,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-09,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-10,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-11,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-12,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-13,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-14,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-15,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-16,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-17,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-18,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-19,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-20,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-21,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-22,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-23,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-24,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-25,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-26,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-27,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-28,80.0,17.0,275.0,15.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2,4.0
2023-11-29,80.0,15.0,275.0,13.666666666666666,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,12.333333333333334,255.0,2.0,70.0,100.0,100.0,155.0,18.333333333333332,85.0,150.0,1.2,4.0
2023-11-30,80.0,14.0,275.0,13.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,15.0,255.0,2.0,70.0,100.0,100.0,155.0,20.0,85.0,150.0,1.2,4.0
2023-12-01,80.0,14.0,275.0,13.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,15.0,255.0,2.0,70.0,100.0,100.0,155.0,20.0,85.0,150.0,1.2,4.0
2023-12-02,80.0,14.0,275.0,13.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,15.0,255.0,2.0,70.0,100.0,100.0,155.0,20.0,85.0,150.0,1.2,4.0
2023-12-03,80.0,14.0,275.0,13.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,15.0,255.0,2.0,70.0,100.0,100.0,155.0,20.0,85.0,150.0,1.2,4.0
2023-12-04,80.0,14.0,275.0,13.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,15.0,255.0,2.0,70.0,100.0,100.0,155.0,20.0,85.0,150.0,1.2,4.0
2023-12-05,80.0,14.0,275.0,13.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,15.0,255.0,2.0,70.0,100.0,100.0,155.0,20.0,85.0,150.0,1.2,4.0
2023-12-06,80.0,14.0,275.0,13.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,15.0,255.0,2.0,70.0,100.0,100.0,155.0,20.0,85.0,150.0,1.2,4.0
2023-12-07,80.0,14.0,275.0,13.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,15.0,255.0,2.0,70.0,100.0,100.0,155.0,20.0,85.0,150.0,1.2,4.0
2023-12-08,80.0,14.0,275.0,13.0,390.0,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,15.0,255.0,2.0,70.0,100.0,100.0,155.0,20.0,85.0,150.0,1.2,4.0
