date,Aliancia,Demokrati,KDH,"Modrí, Most – Híd",OĽANO A PRIATELIA,Republika,SNS,SaS,Sme rodina,ĽS Naše Slovensko
2023-09-28,11.466666666666667,4.866666666666666,1.6048888888888881,21.466666666666665,1.0200000000000002,1.1,1.8133333333333328,1.2713333333333334,4.866666666666666,15.0
2023-09-29,12.0,5.5576923076923075,1.4746153846153847,22.0,1.0128846153846152,1.135576923076923,1.9230769230769234,1.2240384615384614,5.6923076923076925,15.0
2023-09-30,12.0,5.5,1.33,22.0,1.01,1.15,2.2,1.18,6.0,15.0
