date,Hašek Dominik,Hořejší Roman,Hraba Zdeněk JUDr. Ing. Ph.D.,Roušal Josef,Válková Helena prof. JUDr. CSc.,Švojgrová Andrea MUDr.
2024-09-12,6.0,10.0,2.1,13.0,1.9,15.0
2024-09-13,5.0,10.0,1.9,13.0,2.1,15.0
