date,Burget Miroslav Mgr.,"Dopita Pavel Ing. LL.M., MBA","Jura František Mgr. MBA, LL.M.",Naiclerová Hana Ing. MBA,Pospíšilíková Hana Ing.,Sokolová Milada Ing. Bc.
2024-09-12,20.0,25.0,1.8,3.0,5.0,3.0
2024-09-13,20.0,25.0,1.8,3.0,5.0,3.0
2024-09-14,20.0,25.0,1.8,3.0,5.0,3.0
2024-09-15,20.0,25.0,1.8,3.0,5.0,3.0
2024-09-16,20.0,25.0,1.8,3.0,5.0,3.0
2024-09-17,20.0,25.0,1.8,3.0,5.0,3.0
2024-09-18,20.0,25.0,1.8,3.0,5.0,3.0
