date,Chaloupecký Milan Mgr. Ing.,Krčil Miroslav,"Málek Roman MBA, MSc.",Slávka Vladimír Ing.,Tecl Jan Mgr. MBA
2024-09-12,20.0,4.0,10.0,7.0,1.15
2024-09-13,20.0,4.0,10.0,7.0,1.15
