date,Kemal Kilicdaroglu,Recep Tayyip Erdogan
2023-05-22,8.0,1.05
2023-05-23,8.0,1.05
2023-05-24,9.5,1.0350000000000001
2023-05-25,11.0,1.02
2023-05-26,10.5,1.025
2023-05-27,9.5,1.03
2023-05-28,9.0,1.03
