date,Dean Phillips,Elizabeth Warren,Gavin Newsom,Gretchen Whitmer,Hillary Clinton,Joe Biden,Kamala Harris,Michelle Obama,Pete Buttigieg,Robert F. Kennedy Jr.,Susan Rice
2024-01-25,30.0,60.0,20.0,125.0,80.0,1.22,35.0,6.5,200.0,100.0,200.0
2024-01-26,30.0,60.0,20.0,125.0,80.0,1.22,35.0,6.5,200.0,100.0,200.0
2024-01-27,30.0,60.0,20.0,125.0,80.0,1.22,35.0,6.5,200.0,100.0,200.0
2024-01-28,30.0,60.0,20.0,125.0,80.0,1.2266666666666666,35.0,6.133333333333333,200.0,100.0,200.0
2024-01-29,30.0,60.0,20.0,125.0,80.0,1.24,28.333333333333332,5.400000000000001,200.0,100.0,200.0
2024-01-30,30.0,60.0,20.0,125.0,80.0,1.24,25.0,5.400000000000001,200.0,100.0,200.0
2024-01-31,36.666666666666664,66.66666666666667,20.0,125.0,80.0,1.2266666666666666,25.0,5.8,233.33333333333334,133.33333333333334,200.0
2024-02-01,40.0,70.0,20.0,125.0,80.0,1.22,25.0,6.0,250.0,150.0,200.0
2024-02-02,40.0,70.0,20.0,125.0,80.0,1.22,25.0,6.0,250.0,150.0,200.0
2024-02-03,40.0,70.0,20.0,125.0,80.0,1.2066666666666668,25.0,6.0,250.0,150.0,200.0
2024-02-04,40.0,70.0,20.0,125.0,80.0,1.2,25.0,6.0,250.0,150.0,200.0
2024-02-05,40.0,70.0,20.0,125.0,80.0,1.2,25.0,6.0,250.0,150.0,200.0
2024-02-06,40.0,70.0,20.0,125.0,80.0,1.19,25.0,6.0,250.0,150.0,200.0
2024-02-07,40.0,70.0,20.0,125.0,80.0,1.18,25.0,6.0,250.0,150.0,200.0
2024-02-08,40.0,70.0,20.0,125.0,80.0,1.18,25.0,6.0,250.0,150.0,200.0
2024-02-09,40.0,56.666666666666664,13.333333333333334,75.0,80.0,1.3266666666666667,18.333333333333332,5.333333333333333,283.3333333333333,150.0,200.0
2024-02-10,40.0,50.0,10.0,50.0,80.0,1.3500000000000003,14.666666666666666,5.166666666666667,300.0,150.0,200.0
2024-02-11,40.0,50.0,10.0,50.0,80.0,1.33,14.0,5.5,300.0,150.0,200.0
2024-02-12,40.0,50.0,9.333333333333334,50.0,80.0,1.3366666666666667,14.0,5.5,300.0,150.0,200.0
2024-02-13,40.0,50.0,8.0,50.0,80.0,1.3500000000000003,14.0,5.5,300.0,150.0,200.0
2024-02-14,40.0,50.0,8.0,50.0,80.0,1.3500000000000003,14.0,5.5,300.0,150.0,200.0
2024-02-15,42.666666666666664,50.0,8.0,50.0,80.0,1.3500000000000003,14.0,5.5,300.0,141.66666666666666,200.0
2024-02-16,44.0,50.0,8.0,50.0,80.0,1.3500000000000003,14.0,5.5,300.0,125.0,200.0
2024-02-17,44.0,50.0,8.0,53.333333333333336,80.0,1.3266666666666669,14.0,5.5,300.0,125.0,200.0
2024-02-18,46.0,51.666666666666664,8.333333333333334,56.666666666666664,80.0,1.28,14.0,5.666666666666667,300.0,125.0,200.0
2024-02-19,50.0,55.0,9.0,60.0,80.0,1.28,14.0,6.0,300.0,125.0,200.0
2024-02-20,50.0,55.0,9.0,60.0,80.0,1.28,14.0,6.0,300.0,125.0,200.0
2024-02-21,50.0,55.0,9.0,60.0,80.0,1.28,14.0,6.0,300.0,125.0,200.0
2024-02-22,50.0,55.0,9.0,60.0,80.0,1.3,14.0,6.0,300.0,125.0,200.0
2024-02-23,50.0,55.0,9.0,60.0,80.0,1.2666666666666666,14.0,6.0,300.0,125.0,200.0
2024-02-24,50.0,55.0,9.0,60.0,80.0,1.25,14.0,6.0,300.0,125.0,200.0
2024-02-25,50.0,55.0,9.0,60.0,80.0,1.2633333333333334,14.0,6.0,300.0,125.0,200.0
2024-02-26,50.0,55.0,9.0,60.0,80.0,1.27,14.0,6.0,300.0,125.0,200.0
2024-02-27,50.0,55.0,9.0,60.0,80.0,1.27,14.0,6.0,300.0,125.0,200.0
2024-02-28,50.0,55.0,9.0,60.0,80.0,1.2366666666666666,13.0,6.0,300.0,125.0,200.0
2024-02-29,50.0,55.0,9.0,60.0,80.0,1.23,11.0,6.0,300.0,125.0,200.0
2024-03-01,50.0,55.0,9.0,60.0,80.0,1.25,11.0,6.0,300.0,125.0,200.0
2024-03-02,50.0,55.0,9.0,60.0,80.0,1.25,11.0,6.0,300.0,125.0,200.0
2024-03-03,50.0,55.0,9.0,60.0,80.0,1.25,11.0,6.0,300.0,125.0,200.0
2024-03-04,50.0,55.0,9.0,60.0,80.0,1.25,11.0,6.0,300.0,125.0,200.0
2024-03-05,56.666666666666664,55.0,11.0,60.0,80.0,1.25,13.666666666666666,8.0,300.0,125.0,200.0
2024-03-06,60.0,,12.0,,,1.25,15.0,9.0,,,
2024-03-07,,,12.0,,,1.07,17.0,,,,
2024-03-08,,,12.0,,,1.07,17.0,,,,
2024-03-09,,,12.0,,,1.07,17.0,,,,
