date,ANO,Piráti,"SPOLU (ODS, KDU-ČSL, TOP 09)",Starostové pro jižní Moravu
2024-09-06,2.0,40.0,1.7,6.0
2024-09-07,2.0,40.0,1.7,6.0
2024-09-08,2.35,41.666666666666664,1.5333333333333332,6.333333333333333
2024-09-09,2.35,45.0,1.5,7.0
2024-09-10,2.35,45.0,1.5,7.0
2024-09-11,2.35,45.0,1.5,7.0
2024-09-12,2.35,45.0,1.5,7.0
2024-09-13,2.5166666666666666,45.0,1.4333333333333336,7.333333333333333
2024-09-14,2.7000000000000006,45.0,1.3500000000000003,8.0
2024-09-15,2.7000000000000006,45.0,1.3500000000000003,8.0
2024-09-16,2.7,45.0,1.35,8.0
2024-09-17,2.866666666666667,45.0,1.3166666666666667,8.666666666666666
2024-09-18,2.9500000000000006,45.0,1.3,9.0
2024-09-19,2.95,45.0,1.3,9.0
