date,ANO,Piráti,SPOLEČNĚ – ODS a TOP 09,STAN
2024-09-06,1.2,20.0,4.0,6.0
2024-09-07,1.2,20.0,4.0,6.0
2024-09-08,1.1833333333333333,20.666666666666668,4.133333333333334,6.166666666666667
2024-09-09,1.15,22.0,4.4,6.5
2024-09-10,1.15,22.0,4.4,6.5
2024-09-11,1.15,22.0,4.4,6.5
2024-09-12,1.15,22.0,4.4,6.5
2024-09-13,1.15,22.0,4.4,6.5
2024-09-14,1.15,22.0,4.4,6.5
2024-09-15,1.15,22.0,4.4,6.5
2024-09-16,1.15,22.0,4.4,6.5
2024-09-17,1.15,22.0,4.4,6.5
2024-09-18,1.15,22.0,4.4,6.5
2024-09-19,1.15,22.0,4.4,6.5
