date,Donald Trump - Kamala Harris
2024-09-18,2.31
2024-09-19,2.31
2024-09-20,2.31
2024-09-21,2.3566666666666665
2024-09-22,2.38
2024-09-23,2.38
2024-09-24,2.38
2024-09-25,2.38
2024-09-26,2.38
2024-09-27,2.38
2024-09-28,2.38
2024-09-29,2.48
2024-09-30,2.68
2024-10-01,2.68
2024-10-02,2.6366666666666667
2024-10-03,2.55
2024-10-04,2.55
2024-10-05,2.55
2024-10-06,2.55
2024-10-07,2.453333333333333
2024-10-08,2.26
2024-10-09,2.26
2024-10-10,2.143333333333333
2024-10-11,1.986666666666667
2024-10-12,1.8999999999999997
2024-10-13,1.8999999999999997
2024-10-14,1.8999999999999997
2024-10-15,1.8999999999999997
2024-10-16,1.86
2024-10-17,1.84
2024-10-18,1.77
