date,Chňoupek Petr,Lhotský Václav MUDr.,Ryba Drahoslav Ing.,Ryšavý Zdeněk,Růžička Luděk Mgr.,"Turánek Jaroslav prof. RNDr. CSc., DSc.",Žáková Hana
2024-09-12,10.0,40.0,3.5,15.0,40.0,10.0,1.25
2024-09-13,10.0,40.0,3.5,15.0,40.0,10.0,1.25
2024-09-14,10.0,40.0,3.5,15.0,40.0,10.0,1.25
2024-09-15,10.0,40.0,3.6666666666666665,15.0,40.0,10.0,1.2166666666666666
2024-09-16,10.0,40.0,4.0,15.0,40.0,10.0,1.15
2024-09-17,10.0,40.0,4.0,15.0,40.0,10.0,1.15
2024-09-18,10.0,40.0,4.0,15.0,40.0,10.0,1.15
