date,Donald Trump - Kamala Harris
2024-09-18,1.88
2024-09-19,1.88
2024-09-20,1.88
2024-09-21,1.88
2024-09-22,1.88
2024-09-23,1.88
2024-09-24,1.88
2024-09-25,1.88
2024-09-26,1.88
2024-09-27,1.88
2024-09-28,1.88
2024-09-29,1.88
2024-09-30,1.8999999999999997
2024-10-01,1.9400000000000002
2024-10-02,1.9400000000000002
2024-10-03,1.9400000000000002
2024-10-04,1.9400000000000002
2024-10-05,1.9400000000000002
2024-10-06,1.9400000000000002
2024-10-07,1.9633333333333332
2024-10-08,2.01
2024-10-09,2.01
2024-10-10,2.01
2024-10-11,2.0566666666666666
2024-10-12,2.08
2024-10-13,2.08
2024-10-14,2.08
