date,Adámek Miroslav Mgr. - Balík Stanislav prof. PhDr. Ph.D.,Bárta Miroslav prof. Mgr. Dr. - Hilšer Marek MUDr. Bc. Ph.D.,Chlupáč Ladislav Mgr. - Štěrba Ondřej MUDr.,Hraba Zdeněk JUDr. Ing. Ph.D. - Válková Helena prof. JUDr. CSc.,Kroc Miroslav Ing. Mgr. - Vanka Petr,"Kunčar Patrik Ing. - Hájek Oldřich doc. RNDr. PhDr. Ph.D., MBA",Lochman Ondřej - Karen Igor MUDr.,Ludková Vladimíra Mgr. - Kučera Zdeněk Mgr. MBA,Mlejnková Lena Bc. - Kroupa Milan Bc.,Rabas Přemysl MVDr. - Komínek Jaroslav,Rychlík Břetislav doc. - Podivinská Karin Ing.,Schiller Jan Ing. - Hanza Hynek Bc.,Slávka Vladimír Ing. - Tecl Jan Mgr. MBA,Vilímec Vladislav Ing. - Látka Jan,Šimek David Mgr. Bc. MBA - Kortyš Michal,Šlachta Róbert Mgr. - Janulík Miloslav MUDr.,Žáková Hana - Ryba Drahoslav Ing.
2024-09-23,2.115,1.24,2.8,1.01,1.33,2.68,1.02,1.02,1.06,1.15,1.03,1.275,6.21,3.96,1.2,1.375,1.08
2024-09-24,2.06,1.1833333333333333,2.9600000000000004,1.01,1.25,2.4,1.02,1.02,1.06,1.1,1.03,1.31,5.463333333333334,3.2099999999999995,1.2,1.3366666666666667,1.08
2024-09-25,2.16,1.17,3.15,1.01,1.25,2.4,1.02,1.02,1.06,1.08,1.03,1.31,5.1850000000000005,3.21,1.2,1.33,1.08
