date,PRO,PŘÍSAHA a MOTORISTÉ,SPD a Trikolora,STAČILO!,Sociální demokracie,Starostové a osobnosti pro Evropu,Svobodní,Zelení,Česká pirátská strana
2024-05-30,90.0,25.0,5.0,22.0,80.0,1.55,190.0,200.0,2.35
2024-05-31,90.0,6.0,5.5,7.13,80.0,3.5,190.0,200.0,1.6
2024-06-01,226.66666666666666,6.0,5.5,7.086666666666666,103.33333333333333,3.5,210.0,300.0,1.6000000000000003
2024-06-02,500.0,6.0,5.5,7.0,150.0,3.5,250.0,500.0,1.6
2024-06-03,600.0,7.0,5.0,7.0,200.0,2.3,300.0,450.0,2.6
