date,PRO,PŘÍSAHA a MOTORISTÉ,SPD a Trikolora,STAČILO!,Sociální demokracie,Starostové a osobnosti pro Evropu,Svobodní,Zelení,Česká pirátská strana
2024-05-30,300.0,120.0,60.0,80.0,300.0,18.0,500.0,1000.0,35.0
2024-05-31,300.0,70.0,65.0,80.0,300.0,35.0,500.0,1000.0,30.0
2024-06-01,466.6666666666667,70.0,65.33333333333333,80.0,300.0,36.666666666666664,500.0,933.3333333333334,30.0
2024-06-02,800.0,70.0,66.0,80.0,300.0,40.0,500.0,800.0,30.0
2024-06-03,1000.0,80.0,60.0,80.0,400.0,40.0,600.0,800.0,50.0
2024-06-04,1000.0,80.0,60.0,80.0,400.0,40.0,600.0,800.0,50.0
2024-06-05,1000.0,80.0,60.0,80.0,400.0,40.0,600.0,800.0,50.0
2024-06-06,1000.0,82.66666666666667,61.333333333333336,80.0,400.0,51.333333333333336,600.0,800.0,50.0
2024-06-07,1000.0,84.0,62.0,80.0,400.0,57.0,600.0,800.0,50.0
