date,Smer
2023-07-26,1.88
2023-07-27,1.9449999999999998
2023-07-28,1.9749999999999999
2023-07-29,1.92
2023-07-30,1.82
2023-07-31,1.82
2023-08-01,125.91
2023-08-02,250.0
2023-08-03,250.0
2023-08-04,250.0
2023-08-05,265.0
2023-08-06,280.0
2023-08-07,280.0
2023-08-08,280.0
2023-08-09,280.0
