date,PRO,PŘÍSAHA a MOTORISTÉ,SPD a Trikolora,STAČILO!,Sociální demokracie,Starostové a osobnosti pro Evropu,Strana Zelených,Svobodní,Česká pirátská strana
2024-05-30,30.0,6.0,2.01,5.5,70.0,1.05,35.0,100.0,1.22
2024-05-31,30.0,2.4,3.0,4.5,70.0,1.5,35.0,100.0,1.1
2024-06-01,86.66666666666667,2.5666666666666664,2.9,4.333333333333333,76.66666666666667,1.5333333333333332,90.0,105.0,1.11
2024-06-02,200.0,2.9,2.7,4.0,90.0,1.6,200.0,115.0,1.1
