date,Green Party,Konzervativní strana,Labouristická strana,Liberální demokraté,Reform UK
2024-06-28,1000.0,40.0,1.01,750.0,50.0
2024-06-29,1000.0,36.666666666666664,1.01,750.0,50.0
2024-06-30,1000.0,35.0,1.01,750.0,50.0
2024-07-01,1000.0,35.0,1.01,750.0,50.0
2024-07-02,1000.0,35.0,1.01,750.0,50.0
