date,Janda Michal,Jílková Marie Mgr.,Kovač Petr Mgr.,Podivinská Karin Ing.,Rychlík Břetislav doc.,Skřička Tomáš doc. MUDr. CSc.,Zabloudil Libor
2024-09-12,30.0,4.0,50.0,5.0,1.35,30.0,3.0
2024-09-13,30.0,4.0,50.0,5.0,1.3500000000000003,30.0,3.0
2024-09-14,30.0,4.0,50.0,5.0,1.3500000000000003,30.0,3.0
2024-09-15,30.0,4.0,50.0,5.0,1.3500000000000003,30.0,3.0
