date,Aliancia,Demokrati,Hlas,KDH,"Modrí, Most – Híd",OĽANO A PRIATELIA,Progresívne Slovensko,Republika,SNS,SaS,Sme rodina,Smer,ĽS Naše Slovensko
2023-07-26,2222.0,1500.0,10.0,700.0,3333.0,65.0,2.75,60.0,800.0,400.0,500.0,1.65,3000.0
2023-07-27,2222.0,1500.0,11.0,700.0,3333.0,70.0,2.8,60.0,800.0,400.0,500.0,1.6,3000.0
2023-07-28,2222.0,1500.0,12.5,700.0,3333.0,77.5,2.85,60.0,800.0,400.0,500.0,1.55,3000.0
2023-07-29,2222.0,1500.0,12.5,700.0,3333.0,85.0,2.85,62.5,800.0,400.0,500.0,1.5750000000000002,3000.0
2023-07-30,2222.0,1500.0,12.0,700.0,3333.0,95.0,2.85,65.0,800.0,400.0,500.0,1.6,3000.0
2023-07-31,2222.0,1500.0,12.0,700.0,3333.0,100.0,3.0,65.0,800.0,400.0,500.0,1.55,3000.0
2023-08-01,2361.0,1750.0,13.0,725.0,3333.0,100.0,2.95,77.5,775.0,450.0,500.0,1.55,3166.5
2023-08-02,2500.0,2000.0,14.0,750.0,3333.0,100.0,2.9,90.0,750.0,500.0,500.0,1.54,3333.0
2023-08-03,2500.0,2000.0,13.5,750.0,3333.0,100.0,2.925,90.0,750.0,500.0,500.0,1.53,3333.0
2023-08-04,2500.0,2000.0,14.0,750.0,3333.0,100.0,2.9000000000000004,90.0,750.0,500.0,500.0,1.53,3333.0
2023-08-05,2500.0,2000.0,15.5,750.0,3333.0,100.0,2.85,90.0,750.0,500.0,500.0,1.54,3333.0
2023-08-06,2500.0,2000.0,20.0,750.0,3333.0,100.0,2.8,90.0,750.0,500.0,500.0,1.5,3333.0
2023-08-07,2500.0,2000.0,19.0,750.0,3333.0,100.0,2.8499999999999996,95.0,750.0,500.0,500.0,1.5,3333.0
2023-08-08,2500.0,2000.0,20.0,750.0,3333.0,100.0,2.8,100.0,750.0,500.0,500.0,1.55,3333.0
2023-08-09,2500.0,2111.0,27.5,775.0,3333.0,87.5,2.625,95.0,775.0,500.0,550.0,1.55,3333.0
2023-08-10,2500.0,2222.0,29.0,800.0,3333.0,77.5,2.675,95.0,800.0,500.0,600.0,1.5350000000000001,3333.0
2023-08-11,2500.0,2222.0,28.0,800.0,3333.0,80.0,2.75,100.0,800.0,500.0,600.0,1.52,3333.0
2023-08-12,2500.0,2222.0,29.0,850.0,3333.0,80.0,2.75,100.0,775.0,500.0,600.0,1.52,3333.0
2023-08-13,2500.0,2222.0,30.0,900.0,3333.0,80.0,2.75,100.0,750.0,500.0,600.0,1.5200000000000002,3333.0
2023-08-14,3000.0,3000.0,30.0,900.0,4000.0,80.0,2.766666666666667,111.0,750.0,550.0,700.0,1.5133333333333334,3333.0
2023-08-15,3000.0,3000.0,30.0,900.0,4000.0,80.0,2.8,111.0,750.0,550.0,700.0,1.5,3333.0
2023-08-16,3000.0,3000.0,30.0,900.0,4000.0,80.0,2.8,111.0,750.0,550.0,700.0,1.5,3333.0
2023-08-17,3000.0,3000.0,34.0,850.0,4000.0,85.0,2.8,120.5,750.0,600.0,700.0,1.5,3333.0
2023-08-18,3000.0,3000.0,27.5,800.0,4000.0,90.0,2.575,150.0,750.0,650.0,700.0,1.5750000000000002,3500.0
2023-08-19,3000.0,3000.0,30.0,800.0,4000.0,90.0,2.55,150.0,750.0,650.0,700.0,1.585,3500.0
2023-08-20,3000.0,3000.0,27.5,775.0,4000.0,105.0,2.625,135.0,750.0,650.0,725.0,1.545,3500.0
2023-08-21,3000.0,3000.0,22.5,750.0,4000.0,115.0,2.725,140.0,750.0,650.0,750.0,1.5350000000000001,3500.0
2023-08-22,3000.0,3000.0,20.0,750.0,4000.0,110.0,2.75,160.0,750.0,650.0,750.0,1.55,3500.0
2023-08-23,3000.0,3000.0,22.5,750.0,4000.0,105.0,2.775,170.0,750.0,650.0,750.0,1.525,3500.0
2023-08-24,3000.0,3000.0,25.0,750.0,4000.0,105.0,2.8,190.0,750.0,675.0,750.0,1.5,3500.0
2023-08-25,3000.0,3000.0,25.0,750.0,4000.0,110.5,2.9,211.0,750.0,700.0,750.0,1.49,3500.0
2023-08-26,3000.0,3000.0,30.0,750.0,4000.0,120.0,3.0,220.0,750.0,650.0,850.0,1.45,3500.0
2023-08-27,3000.0,3000.0,30.0,750.0,4000.0,120.0,3.0,220.0,750.0,650.0,850.0,1.45,3500.0
2023-08-28,3000.0,3000.0,30.0,750.0,4000.0,125.0,3.0,220.0,750.0,625.0,875.0,1.45,3500.0
2023-08-29,3000.0,3000.0,33.0,750.0,4000.0,130.0,3.0,230.0,750.0,600.0,900.0,1.44,3500.0
