date,ANO,K21 ZLÍNSKÝ KRAJ 21. STOLETÍ,ODS,Starostové pro Zlínský kraj
2024-09-06,1.2,8.0,9.0,4.5
2024-09-07,1.2,8.0,9.0,4.5
2024-09-08,1.2,8.0,9.0,4.5
2024-09-09,1.2,8.0,9.0,4.5
2024-09-10,1.2,8.0,9.0,4.5
2024-09-11,1.2,8.0,9.0,4.5
2024-09-12,1.2,8.0,9.0,4.5
2024-09-13,1.2,8.0,9.0,4.5
2024-09-14,1.2,8.0,9.0,4.5
2024-09-15,1.2,8.0,9.0,4.5
2024-09-16,1.2,8.0,9.0,4.5
2024-09-17,1.2,7.333333333333333,9.0,4.833333333333333
2024-09-18,1.1333333333333333,7.0,9.0,5.666666666666667
2024-09-19,1.07,7.0,9.0,6.0
