date,Karen Igor MUDr.,Kobza Jiří Mgr.,Krumpholcová Jana Ing. MSc.,Lochman Ondřej,Nozar Lukáš,Nwelati Raduan MUDr.,Ort Václav JUDr.
2024-09-12,4.5,30.0,25.0,4.0,30.0,1.375,20.0
2024-09-13,4.833333333333333,30.0,25.0,3.033333333333333,30.0,1.3999999999999997,20.0
2024-09-14,5.0,30.0,25.0,2.7999999999999994,30.0,1.3999999999999997,20.0
2024-09-15,5.0,30.0,25.0,2.7999999999999994,30.0,1.3999999999999997,20.0
2024-09-16,5.0,30.0,25.0,2.8,30.0,1.4,20.0
2024-09-17,5.0,30.0,25.0,2.7999999999999994,30.0,1.3999999999999997,20.0
2024-09-18,5.0,30.0,25.0,2.7999999999999994,30.0,1.3999999999999997,20.0
2024-09-19,5.0,30.0,25.0,2.7999999999999994,30.0,1.3999999999999997,20.0
2024-09-20,5.0,30.0,25.0,2.8,30.0,1.4,20.0
