date,ANO,Piráti,"SPOLU (ODS, KDU-ČSL, TOP 09)",STAN
2024-09-06,1.7,30.0,2.0,6.0
2024-09-07,1.7,30.0,2.0,6.0
2024-09-08,1.7,30.0,2.033333333333333,5.833333333333333
2024-09-09,1.7,30.0,2.1,5.5
2024-09-10,1.75,30.0,2.05,5.5
2024-09-11,1.8,30.0,2.1333333333333333,4.833333333333333
2024-09-12,1.8,30.0,2.2,4.5
2024-09-13,1.7666666666666666,43.333333333333336,2.266666666666667,4.5
2024-09-14,1.7,50.0,2.4,4.5
2024-09-15,1.7,50.0,2.4,4.5
2024-09-16,1.7,50.0,2.4,4.5
2024-09-17,1.7,50.0,2.4,4.5
