date,ANO,Piráti,Společně se Starosty pro občany,Starostové pro Vysočinu
2024-09-06,1.15,30.0,4.0,7.0
2024-09-07,1.15,30.0,4.0,7.0
2024-09-08,1.15,30.0,4.0,7.0
2024-09-09,1.15,30.0,4.0,7.0
2024-09-10,1.15,30.0,4.0,7.0
2024-09-11,1.1166666666666667,30.0,4.666666666666667,7.666666666666667
2024-09-12,1.1,30.0,5.0,8.0
