date,Bárta Miroslav prof. Mgr. Dr.,Hilšer Marek MUDr. Bc. Ph.D.,Kislingerová Eva prof. Ing. CSc.,Poul Bronislav,"Zažímalová Eva prof. RNDr. CSc., dr. h. c."
2024-09-12,1.9,1.9,5.0,50.0,7.0
2024-09-13,1.8833333333333335,1.9333333333333333,5.0,50.0,7.0
2024-09-14,1.8500000000000003,2.0,5.0,50.0,7.0
2024-09-15,1.8500000000000003,2.0,5.0,50.0,7.0
2024-09-16,1.85,2.0,5.0,50.0,7.0
