date,ANO,ODS (podpora TOP09),SPD a Trikolora,STAN
2024-09-06,1.01,25.0,40.0,15.0
2024-09-07,1.01,25.0,40.0,15.0
2024-09-08,1.01,25.0,40.0,15.0
2024-09-09,1.01,25.0,40.0,15.0
2024-09-10,1.01,25.0,40.0,15.0
2024-09-11,1.01,25.0,40.0,15.0
2024-09-12,1.01,25.0,40.0,15.0
2024-09-13,1.01,25.0,40.0,15.0
2024-09-14,1.01,25.0,40.0,15.0
2024-09-15,1.01,25.0,40.0,15.0
2024-09-16,1.01,25.0,40.0,15.0
2024-09-17,1.01,25.0,40.0,15.0
2024-09-18,1.01,25.0,40.0,15.0
2024-09-19,1.01,25.0,40.0,15.0
2024-09-20,1.01,25.0,40.0,15.0
