date,Demokrati,HLAS-SD,KDH,Maďarská aliancia,Republika,SNS,SaS,"Slovensko, Za ľudí",ĽSNS
2024-05-30,35.0,1.6,5.0,30.0,2.1,50.0,12.0,30.0,100.0
2024-05-31,35.0,1.5,5.0,30.0,2.31,50.0,12.0,30.0,100.0
2024-06-01,35.0,1.5,5.0,30.0,2.31,50.0,12.0,30.0,100.0
2024-06-02,25.0,1.3999999999999997,5.0,25.0,2.6,50.0,6.5,25.0,100.0
2024-06-03,25.0,1.3999999999999997,5.0,25.0,2.6,50.0,6.5,25.0,100.0
2024-06-04,22.5,1.3399999999999999,6.0,25.0,3.05,50.0,7.25,25.0,100.0
