date,Kroupa Milan Bc.,Mlejnková Lena Bc.,Němeček Vít MUDr. MBA,Tejmlová Michaela Mgr. LL.M.,Vašíček Tomáš Mgr.,Švarc Michal Mgr. Bc.
2024-09-12,4.75,8.0,1.65,2.55,25.0,15.0
2024-09-13,5.5,,1.7,2.6,25.0,15.0
