date,ANO,ODS,"SPD, Trikolora a PRO",Starostové pro Ústecký kraj
2024-09-06,1.01,30.0,30.0,20.0
2024-09-07,1.01,30.0,30.0,20.0
2024-09-08,1.01,30.0,30.0,20.0
2024-09-09,1.01,30.0,30.0,20.0
2024-09-10,1.01,30.0,30.0,20.0
2024-09-11,1.01,32.0,26.666666666666668,20.0
2024-09-12,1.01,33.0,25.0,20.0
